Precinct,Ethnic_Comp_Cat,Race,Race_Int,Eth_Pop_In_Precinct,Occurrences
1,0,W,1,51658,1
1,0,B,2,1802,1
1,0,Q,3,4956,1
5,0,W,1,11221,1
5,0,B,2,2682,1
5,0,Q,3,5898,1
6,0,W,1,49538,1
6,0,B,2,1302,1
6,0,Q,3,3524,1
7,0,W,1,13334,2
7,0,B,2,3960,1
7,0,Q,3,18327,1
9,0,W,1,39999,3
9,0,B,2,5648,3
9,0,Q,3,17454,5
10,0,W,1,31997,1
10,0,B,2,4820,1
10,0,Q,3,9277,1
13,0,W,1,63810,55
13,0,B,2,4100,12
13,0,Q,3,10109,18
14,0,W,1,11702,11
14,0,B,2,1142,5
14,0,Q,3,2868,1
17,0,W,1,53084,5
17,0,B,2,1598,2
17,0,Q,3,4816,1
18,0,W,1,33211,1
18,0,B,2,2672,1
18,0,Q,3,9500,1
19,0,W,1,163474,1
19,0,B,2,3924,2
19,0,Q,3,19507,5
20,0,W,1,77140,1
20,0,B,2,2998,1
20,0,Q,3,9595,1
23,1,W,1,12715,1
23,1,B,2,19647,1
23,1,Q,3,36005,3
24,0,W,1,60570,1
24,0,B,2,9305,2
24,0,Q,3,24615,1
25,1,W,1,5104,1
25,1,B,2,19980,10
25,1,Q,3,22971,4
26,1,W,1,18784,1
26,1,B,2,9775,1
26,1,Q,3,11024,1
28,2,W,1,11687,1
28,2,B,2,27025,1
28,2,Q,3,11151,1
30,1,W,1,11231,2
30,1,B,2,16870,16
30,1,Q,3,33928,8
32,2,W,1,7203,1
32,2,B,2,48657,5
32,2,Q,3,20540,1
33,1,W,1,10490,1
33,1,B,2,9226,4
33,1,Q,3,60641,2
34,0,W,1,29629,1
34,0,B,2,6389,1
34,0,Q,3,86069,1
40,1,W,1,2009,1
40,1,B,2,28235,11
40,1,Q,3,65788,10
41,1,W,1,560,1
41,1,B,2,13665,9
41,1,Q,3,40543,16
42,1,W,1,1038,1
42,1,B,2,33081,12
42,1,Q,3,54023,6
43,1,W,1,4600,1
43,1,B,2,54496,1
43,1,Q,3,105753,1
44,1,W,1,2566,2
44,1,B,2,43491,44
44,1,Q,3,98751,25
46,1,W,1,2012,1
46,1,B,2,36517,6
46,1,Q,3,92234,6
47,2,W,1,10326,2
47,2,B,2,105125,11
47,2,Q,3,38929,3
48,1,W,1,6222,1
48,1,B,2,21436,6
48,1,Q,3,56606,3
49,1,W,1,27967,1
49,1,B,2,24675,2
49,1,Q,3,54941,6
50,1,W,1,36836,1
50,1,B,2,12240,1
50,1,Q,3,50023,1
52,1,W,1,8556,1
52,1,B,2,23029,1
52,1,Q,3,104972,1
60,1,W,1,57271,1
60,1,B,2,12695,1
60,1,Q,3,16433,1
61,0,W,1,109308,1
61,0,B,2,5990,1
61,0,Q,3,16826,1
62,0,W,1,83698,1
62,0,B,2,2005,1
62,0,Q,3,27801,1
63,2,W,1,44447,1
63,2,B,2,55800,1
63,2,Q,3,11411,1
66,0,W,1,125890,1
66,0,B,2,4652,1
66,0,Q,3,25366,3
67,2,W,1,3947,1
67,2,B,2,136830,2
67,2,Q,3,12184,1
69,2,W,1,4325,1
69,2,B,2,75795,6
69,2,Q,3,6045,1
70,1,W,1,62453,1
70,1,B,2,51707,6
70,1,Q,3,25916,1
71,2,W,1,25312,1
71,2,B,2,65946,5
71,2,Q,3,9587,1
72,0,W,1,32153,1
72,0,B,2,3238,1
72,0,Q,3,56731,1
73,2,W,1,2478,1
73,2,B,2,64828,16
73,2,Q,3,19348,2
75,2,W,1,6586,1
75,2,B,2,103494,11
75,2,Q,3,65445,4
76,1,W,1,28309,1
76,1,B,2,6350,1
76,1,Q,3,10784,1
77,2,W,1,19968,1
77,2,B,2,53767,3
77,2,Q,3,11741,1
78,0,W,1,50245,1
78,0,B,2,5449,1
78,0,Q,3,10593,1
79,2,W,1,23987,1
79,2,B,2,41019,26
79,2,Q,3,19630,2
81,2,W,1,8182,1
81,2,B,2,51129,14
81,2,Q,3,11618,1
83,1,W,1,19535,1
83,1,B,2,22278,1
83,1,Q,3,67865,3
84,1,W,1,34633,1
84,1,B,2,5831,3
84,1,Q,3,6452,2
88,1,W,1,20042,1
88,1,B,2,23683,4
88,1,Q,3,9379,1
90,0,W,1,69288,1
90,0,B,2,7765,5
90,0,Q,3,36833,1
94,0,W,1,45245,3
94,0,B,2,3013,1
94,0,Q,3,10021,1
100,1,W,1,26058,1
100,1,B,2,10360,7
100,1,Q,3,9359,1
101,2,W,1,16297,1
101,2,B,2,32853,10
101,2,Q,3,20652,1
102,0,W,1,27672,1
102,0,B,2,8719,3
102,0,Q,3,65478,14
103,1,W,1,2686,1
103,1,B,2,44182,2
103,1,Q,3,28478,2
104,0,W,1,94554,3
104,0,B,2,2308,4
104,0,Q,3,66325,8
105,2,W,1,23439,1
105,2,B,2,113907,1
105,2,Q,3,25407,1
106,1,W,1,30366,1
106,1,B,2,20377,1
106,1,Q,3,35596,1
107,1,W,1,50515,9
107,1,B,2,18367,5
107,1,Q,3,32051,11
108,0,W,1,35650,1
108,0,B,2,1667,1
108,0,Q,3,41391,1
109,0,W,1,63642,1
109,0,B,2,5270,1
109,0,Q,3,43570,5
110,0,W,1,11229,1
110,0,B,2,11043,1
110,0,Q,3,86521,2
112,0,W,1,56706,1
112,0,B,2,3291,1
112,0,Q,3,18382,1
113,2,W,1,1448,1
113,2,B,2,106483,1
113,2,Q,3,12247,1
114,0,W,1,89519,4
114,0,B,2,17475,4
114,0,Q,3,51996,4
115,0,W,1,17738,1
115,0,B,2,8688,1
115,0,Q,3,107392,1
120,1,W,1,43985,1
120,1,B,2,24541,20
120,1,Q,3,31045,5
121,1,W,1,61488,3
121,1,B,2,14774,4
121,1,Q,3,28120,1
122,0,W,1,102714,2
122,0,B,2,4439,1
122,0,Q,3,17651,1
